PERIODO MAQUINA,TURNO,(F.D.),H.MUESTRAS,(TMPP),(HMDP),(TSP),(TPCP),H.REFORMA,H.ESP.URG,H.P.PROGRAMADA,(DP),OEE,,,PRODUCCION,DESP,VEL.,CAMBIO,RELAJE,MNTO.,ATASCOS,FALTAS PERSONA,N.P.ATEND,F.MOTIVO
PERIODO G-1019,     A
PERIODO G-1015,     A
PERIODO G-1034,     A
PERIODO G-1012,     A
PERIODO G-1013,     A
PERIODO G-1037,     A
PERIODO U-1,        A
PERIODO U2,         A
PERIODO TOTAL-TURNO

PERIODO G-1019,     B
PERIODO G-1015,     B
PERIODO G-1034,     B
PERIODO G-1012,     B
PERIODO G-1013,     B
PERIODO G-1037,     B
PERIODO U-1,        B
PERIODO U2,         B
PERIODO TOTAL-TURNO

PERIODO G-1019,     C
PERIODO G-1015,     C
PERIODO G-1034,     C
PERIODO G-1012,     C
PERIODO G-1013,     C
PERIODO G-1037,     C
PERIODO U-1,        C
PERIODO U2,         C
PERIODO TOTAL-TURNO
PERIODO TOTAL-CELULA


PERIODO MAJER-FA,   A
PERIODO R-2002,     A
PERIODO R-2001,     A
PERIODO R-2003,     A
PERIODO R-2004,     A
PERIODO WK-5,       A
PERIODO TOTAL-TURNO,

PERIODO MAJER-FA,   B
PERIODO R-2002,     B
PERIODO R-2001,     B
PERIODO R-2003,     B
PERIODO R-2004,     B
PERIODO WK-5,       B
PERIODO TOTAL-TURNO,

PERIODO MAJER-FA,   C
PERIODO R-2002,     C
PERIODO R-2001,     C
PERIODO R-2003,     C
PERIODO R-2004,     C
PERIODO WK-5,       C
PERIODO TOTAL-TURNO,

PERIODO G-1024,     A
PERIODO G-1018,     A
PERIODO G-1008,     A
PERIODO G-1026,     A
PERIODO G-1029,     A
PERIODO G-1012,     A
PERIODO G-1011,     A
PERIODO G-1027,     A
PERIODO TOTAL-TURNO,

PERIODO G-1024,     B,0.95,,0.43,8,,,,,8,0.85,,,53288,10.4,131,,0:03,,,0:18,,,0:00
PERIODO G-1018,     B,0.93,,0.59,8,,,,,8,0.79,,,45636,6.4,110,,,,,0:19,,,0:00
PERIODO G-1008,     B,0.75,,2.02,8,,,,,4,0.71,,,44984,5.8,131,0.53,0:03,,,0:14,,0:38,0:00
PERIODO G-1026,     B,0.86,,1.08,8,,,,,4,0.81,,,50852,6.3,131,0.06,0:29,,,0:09,,,0:00
PERIODO G-1029,     B,0.85,,1.24,8,,,,,4,0.86,,,53568,-31.1,101,0:08,,,,0:40,,,0:00
PERIODO G-1032,     B,0.66,,2.72,8,,,,,4,0.64,,,37910,6.0,126,1:06,0:09,,,0.23,,0:47,0.12
PERIODO G-1011,     B,0.84,,1.26,8,,,,,8,0.77,,,49468,9.6,133,,0:35,,,0:28,,,0:00
PERIODO G-1027,     B,0.77,,1.87,8,,,,,4,0.78,,,46140,5.3,129,,,,,0:13,,1:21,0:02
PERIODO TOTAL-TURNO,,0.82,,11.21,64,,,,,,,,,381846,3.3,124,2:15,,,,2:37,,,0:15

PERIODO G-1024,     C
PERIODO G-1018,     C
PERIODO G-1008,     C
PERIODO G-1026,     C
PERIODO G-1029,     C
PERIODO G-1012,     C
PERIODO G-1011,     C
PERIODO G-1027,     C
PERIODO TOTAL-TURNO,
PERIODO TOTAL-CELULA


PERIODO GR-1017,    A
PERIODO G-1014,     A
PERIODO G-1025,     A
PERIODO G-1030,     A
PERIODO GR-1008,    A
PERIODO TOTAL-TURNO,

PERIODO GR-1017,    B,
PERIODO G-1014,     B
PERIODO G-1025,     B
PERIODO G-1030,     B
PERIODO GR-1008,    B
PERIODO TOTAL-TURNO,

PERIODO GR-1017,    C
PERIODO G-1014,     C
PERIODO G-1025,     C
PERIODO G-1030,     C
PERIODO GR-1008,    C
PERIODO TOTAL-TURNO,
PERIODO TOTAL-CELULA,
PERIODO TOTAL-SECCION,
